Cage Barcode,Cage Function,Cage Type,Colony,Project Licence,Number Of Animals (175),Last Validated,Room,Condition,time,Cleaned,sexed,weaned,comments
C00646897,Stock,Standard Cage,BRAC,Anastasiou PP0954230 (DA),2,Never,1,0,00:37,1,0,0,Needed more bedding extra change
C00646317,Mating,Standard Cage,DAAY,Anastasiou PP0954230 (DA),2,Never,1,0,00:55,1,1,0,
C00648318,Mating,Standard Cage,DABB,Anastasiou PP0954230 (DA),2,Never,1,0,00:29,1,0,0,separated pair
C00664503,Mating,Standard Cage,DABB,Anastasiou PP0954230 (DA),8,Never,1,0,00:34,1,0,0,
C00664510,Mating,Standard Cage,DABB,Anastasiou PP0954230 (DA),2,Never,1,0,00:18,0,0,0,
C00615675,Stock,Standard Cage,DABB,Anastasiou PP0954230 (DA),1,Never,1,0,00:28,1,0,0,
C00646894,Stock,Standard Cage,DABB,Anastasiou PP0954230 (DA),5,Never,1,0,00:31,1,0,0,
C00623313,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),3,Never,1,0,00:20,0,0,0,
C00638474,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),1,Never,1,0,00:14,0,0,0,
C00656053,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),2,Never,1,0,00:33,1,0,0,
C00657218,Stock,Standard Cage,DABJ,Anastasiou PP0954230 (DA),1,Never,1,0,00:11,0,0,0,
C00656036,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),3,Never,1,0,00:26,1,0,0,
C00656037,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),3,Never,1,0,00:29,1,0,0,
C00662548,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),3,Never,1,0,00:27,1,0,0,
C00667709,Stock,Standard Cage,DABS,Anastasiou PP0954230 (DA),4,Never,1,0,00:21,1,0,0,
C00640627,Stock,Standard Cage,BRAM,Boulton PP1362096 (SB),1,Never,1,1,00:13,0,0,0,
C00644755,Mating,Standard Cage,SBER,Boulton PP1362096 (SB),16,Never,1,1,01:35,1,0,0,
C00632886,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:27,1,0,0,
C00636429,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:41,1,0,0,
C00638169,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),2,Never,1,1,00:30,1,0,0,
C00644757,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),1,Never,1,1,00:20,0,0,0,
C00645483,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),2,Never,1,1,00:28,1,0,0,
C00657197,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),4,Never,1,1,00:58,1,0,0,
C00657242,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),3,Never,1,1,00:38,1,0,0,
C00657243,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),4,Never,1,1,00:40,1,0,0,
C00662384,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),5,Never,1,1,01:20,1,0,0,
C00667738,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),5,Never,1,1,00:16,0,0,0,
C00669284,Stock,Standard Cage,SBER,Boulton PP1362096 (SB),3,Never,1,1,00:43,1,0,0,
C00645415,Mating,Standard Cage,SBES,Boulton PP1362096 (SB),12,Never,1,1,02:11,1,1,0,scruffed
C00645416,Mating,Standard Cage,SBES,Boulton PP1362096 (SB),12,Never,1,1,06:40,1,1,0,difficulty sexing
C00664178,Stock,Standard Cage,SBES,Boulton PP1362096 (SB),4,Never,1,1,00:39,1,0,0,
C00664209,Stock,Standard Cage,SBES,Boulton PP1362096 (SB),3,Never,1,1,00:17,0,0,0,
C00671163,Stock,Standard Cage,SBES,Boulton PP1362096 (SB),4,Never,1,1,00:27,0,0,0,
C00671168,Stock,Standard Cage,SBES,Boulton PP1362096 (SB),4,Never,1,1,00:28,0,0,0,
C00635613,Stock,Standard Cage,LLAB,Li PP4103600 (LL),1,Never,7,0,00:16,0,0,0,
C00642673,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),7,Never,7,0,00:35,0,1,0,
C00642674,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),9,Never,7,0,00:47,1,1,0,
C00665013,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),12,Never,7,0,01:04,1,1,0,
C00640997,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:22,1,0,0,
C00645363,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:15,0,0,0,
C00660762,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),2,Never,7,0,00:13,0,0,0,
